popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,category,time_signature,duration_ms
48,0.279,0.723,6,-5.322,1,0.0472,0.0134,0.0,0.201,0.455,138.174,blues,4,181625
28,0.535,0.804,10,-6.929,1,0.0458,0.00706,0.000255,0.101,0.441,120.003,blues,4,208970
35,0.516,0.55,6,-7.304,1,0.0387,0.315,0.0469,0.261,0.719,178.42,blues,4,261990
17,0.301,0.813,11,-8.145,1,0.0459,0.0949,0.001,0.308,0.563,158.675,blues,4,234901
22,0.436,0.482,2,-14.546,1,0.0385,0.0658,0.00318,0.177,0.501,119.249,blues,4,392440
14,0.601,0.41,9,-9.331,1,0.0442,0.509,0.0109,0.104,0.765,106.399,blues,4,251693
46,0.645,0.74,4,-8.626,0,0.0324,0.223,4.3e-05,0.338,0.672,94.931,blues,4,172333
41,0.679,0.728,2,-9.478,1,0.0325,0.0795,0.0127,0.151,0.748,120.014,blues,4,188142
35,0.677,0.503,7,-13.637,1,0.0335,0.612,0.000272,0.288,0.844,111.147,blues,4,383933
36,0.606,0.679,5,-6.091,0,0.0684,0.075,0.00274,0.677,0.964,183.8,blues,4,238667
21,0.345,0.744,0,-11.225,1,0.0743,0.0252,0.00323,0.144,0.467,133.221,blues,4,223000
20,0.621,0.274,7,-15.154,1,0.0631,0.695,0.000627,0.0972,0.495,139.807,blues,4,346600
32,0.777,0.292,0,-10.166,0,0.0402,0.336,0.00444,0.0838,0.264,110.108,blues,3,251024
32,0.486,0.945,2,-2.673,1,0.0356,0.245,8.78e-05,0.373,0.957,131.645,blues,4,272933
28,0.406,0.858,2,-7.333,1,0.0696,0.281,0.0,0.372,0.899,167.756,blues,5,161728
39,0.473,0.281,1,-11.337,1,0.0354,0.97,0.0936,0.11,0.523,119.161,blues,4,174576
25,0.491,0.891,0,-7.509,1,0.0409,0.00656,0.15,0.0324,0.744,91.774,blues,4,257960
14,0.613,0.88,10,-8.242,1,0.0505,0.202,1.23e-05,0.112,0.812,115.004,blues,4,194572
32,0.632,0.764,0,-10.139,1,0.0515,0.314,0.0388,0.133,0.935,117.608,blues,4,226160
51,0.389,0.208,2,-11.669,1,0.0359,0.861,7.76e-06,0.192,0.233,90.346,blues,4,254619
41,0.639,0.463,4,-7.737,1,0.0336,0.721,0.0,0.0789,0.323,94.064,blues,4,235048
40,0.623,0.151,9,-16.275,1,0.0626,0.697,0.000354,0.102,0.309,75.033,blues,4,200667
40,0.566,0.57,2,-6.42,1,0.0329,0.688,1.73e-06,0.0943,0.96,83.403,blues,4,166240
13,0.543,0.946,10,-4.454,0,0.13,0.00963,0.00201,0.0665,0.556,143.596,blues,4,233560
34,0.579,0.678,1,-7.031,1,0.0834,0.134,3.14e-05,0.219,0.811,140.793,blues,4,226933
38,0.708,0.565,11,-5.505,0,0.0465,0.273,0.000316,0.0367,0.837,93.806,blues,4,289027
66,0.58,0.885,0,-5.154,0,0.0715,0.1,0.00157,0.146,0.788,145.405,blues,4,137933
28,0.454,0.387,2,-10.159,0,0.0417,0.406,0.00099,0.0783,0.686,97.995,blues,4,205533
10,0.683,0.347,5,-10.37,1,0.053,0.871,0.0,0.186,0.81,157.636,blues,4,160293
33,0.812,0.248,8,-11.129,1,0.0534,0.986,3.38e-05,0.137,0.742,125.33,blues,4,151301
34,0.612,0.829,4,-10.027,0,0.0356,0.55,0.415,0.913,0.662,125.821,blues,4,378973
37,0.516,0.401,8,-8.017,1,0.0284,0.388,1.17e-05,0.0903,0.274,95.909,blues,3,435427
39,0.494,0.969,6,-2.694,1,0.222,0.172,0.00158,0.148,0.165,121.214,blues,4,169808
17,0.574,0.882,5,-2.892,1,0.0874,0.183,0.282,0.0582,0.797,171.202,blues,4,266227
38,0.627,0.282,4,-10.107,0,0.0263,0.189,0.00123,0.152,0.413,83.443,blues,3,264293
11,0.491,0.338,5,-8.924,1,0.0335,0.777,6.18e-06,0.0897,0.224,139.199,blues,3,406707
40,0.555,0.933,11,-6.287,0,0.118,0.437,0.307,0.267,0.616,97.878,blues,4,184827
44,0.689,0.74,5,-9.161,0,0.0393,0.0666,0.000184,0.187,0.788,121.212,blues,4,318040
37,0.482,0.845,1,-5.2,0,0.0328,0.0612,0.000719,0.357,0.698,175.774,blues,4,206173
33,0.797,0.499,6,-8.872,1,0.0552,0.119,5.4e-05,0.0466,0.608,100.102,blues,4,255616
15,0.462,0.791,9,-11.879,1,0.0937,0.257,0.0203,0.251,0.59,77.977,blues,4,180880
32,0.623,0.845,8,-7.485,0,0.0727,0.00114,0.00502,0.126,0.539,117.968,blues,4,219193
